claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
269568,33,M,1,72,35936.0,0,1,Own,50006,10/18/2024,Friday,Local,0,1,45,Phone,0,2,Medium,23457.35282,black,26707.46021,7957.267641,2000,1415.74,10.00976115,5,Y
974592,31,M,1,76,84940.8,1,1,Own,15021,12/23/2023,Saturday,Local,0,0,100,Phone,0,7,Medium,19752.42523,gray,15279.38583,3014.110884,1000,1199.44,8.264031851,3,N
1244160,42,F,0,68,29779.2,1,0,Own,80042,5/26/2024,Sunday,Local,0,1,84,Phone,1,4,Medium,12689.88429,white,6535.967672,2812.365265,2000,972.18,9.443031698,2,Y
2135808,30,F,1,79,34419.0,1,1,Own,50041,9/27/2024,Friday,Parking Lot,0,0,61,Phone,0,7,Medium,28091.43192,silver,15488.98712,3973.694785,1000,988.45,7.041739847,3,Y
2592000,42,F,0,92,39814.4,1,1,Own,50009,9/3/2023,Sunday,Highway,0,0,72,Phone,1,4,Compact,12006.5627,red,12427.00182,3388.568025,2000,1273.7,9.966159716,4,Y
3525120,23,M,1,82,20164.8,1,0,Rent,15015,3/21/2024,Thursday,Highway,0,0,80,Phone,1,6,Compact,12224.5503,white,24375.06253,5335.459014,500,1848.81,9.411242095,4,Y
3608064,55,M,1,83,14104.0,0,1,Own,80107,8/31/2024,Saturday,Parking Lot,0,0,69,Phone,0,4,Compact,12845.13183,other,30130.72245,6011.22711,500,1362.87,8.528898183,3,Y
3649536,44,F,0,65,160546.0,1,1,Rent,85001,9/1/2024,Sunday,Local,0,0,86,Phone,1,4,Large,76566.41329,silver,30982.76488,10852.36645,500,1239.22,8.592964817,3,N
3981312,37,F,0,68,7786.0,0,1,Rent,80022,5/26/2024,Sunday,Highway,0,0,51,Phone,1,5,Large,34708.88292,black,23599.39624,5904.032433,500,1105.49,8.546369217,9,Y
4209408,40,F,1,77,99026.0,1,1,Own,50047,8/6/2023,Sunday,Parking Lot,0,0,50,Phone,1,5,Medium,19450.25858,silver,12600.65557,5891.41743,1000,1425.54,9.551207744,2,N
4748544,27,M,0,36,32728.0,1,0,Rent,50023,12/28/2024,Saturday,Parking Lot,2,0,71,Phone,1,5,Large,7879.238294,black,41443.38211,6794.780109,2000,769.95,9.057925582,2,Y
4790016,42,F,1,65,179808.0,0,1,Rent,85072,10/5/2023,Thursday,Parking Lot,3,0,93,Phone,1,6,Large,34221.32516,silver,21670.54025,4019.553749,2000,1514.72,10.20500492,5,N
5101056,34,M,1,82,16429.0,0,1,Own,20106,3/20/2023,Monday,Parking Lot,0,1,0,Phone,1,5,Large,20504.51437,black,44689.78043,3431.849274,2000,1136.83,8.164786494,4,Y
5121792,31,F,0,94,84939.2,1,1,Own,85077,3/9/2023,Thursday,Local,1,0,94,Phone,1,4,Medium,21003.68362,gray,22015.10594,5270.906542,2000,1322.78,8.63599319,3,N
5660928,46,M,0,45,11246.0,0,1,Own,15025,9/22/2023,Friday,Local,1,1,34,Phone,1,2,Large,25602.20531,other,30860.11818,4499.059204,2000,1338.5,9.64053346,3,Y
5723136,57,M,1,65,14693.0,1,0,Rent,85007,8/9/2024,Friday,Parking Lot,1,0,64,Phone,1,1,Medium,9732.691388,gray,26752.07125,5461.151361,1000,1074.07,9.812436192,3,Y
6158592,56,M,1,83,44387.0,1,1,Rent,20148,10/19/2023,Thursday,Local,0,1,27,Phone,0,3,Medium,10883.7118,red,11807.93998,4511.907191,2000,1103.58,10.5576621,6,Y
7568640,51,F,1,87,162891.2,1,0,Rent,85035,10/14/2024,Monday,Highway,2,0,99,Phone,1,4,Compact,31615.03599,other,28699.249,7990.167818,500,1355.08,8.550854393,4,N
7817472,41,F,0,66,29408.0,1,0,Rent,20163,2/24/2023,Friday,Parking Lot,0,0,99,Phone,1,7,Medium,13942.05244,gray,41405.79596,3996.453104,500,1158.03,9.701092284,5,Y
8045568,49,F,0,79,82292.8,0,1,Own,85028,10/30/2024,Wednesday,Local,1,1,24,Phone,1,7,Compact,11488.23238,silver,19754.24336,6706.715266,500,1344.36,7.47937187,3,N
8211456,33,F,1,64,95934.4,1,0,Rent,20107,2/19/2024,Monday,Highway,0,0,3,Phone,0,2,Medium,12267.68033,gray,13732.00306,1971.468572,500,1203.24,7.617566343,3,N
